,index,Date,MIN,MAX,Month
0,57877,1940-01-01,63.0,74.0,January
1,57878,1940-01-02,61.0,74.0,January
2,57879,1940-01-03,60.0,75.0,January
3,57880,1940-01-04,65.0,75.0,January
4,57881,1940-01-05,59.0,72.0,January
5,57882,1940-01-06,58.0,78.0,January
6,57883,1940-01-07,62.0,76.0,January
7,57884,1940-01-08,60.0,72.0,January
8,57885,1940-01-09,60.0,74.0,January
9,57886,1940-01-10,58.0,74.0,January
10,57887,1940-01-11,60.0,75.0,January
11,57888,1940-01-12,60.0,79.0,January
12,57889,1940-01-13,60.0,76.0,January
13,57890,1940-01-14,62.0,73.0,January
14,57891,1940-01-15,57.0,74.0,January
15,57892,1940-01-16,55.0,76.0,January
16,57893,1940-01-17,55.0,77.0,January
17,57894,1940-01-18,60.0,78.0,January
18,57895,1940-01-19,66.0,76.0,January
19,57896,1940-01-20,60.0,73.0,January
20,57897,1940-01-21,56.0,76.0,January
21,57898,1940-01-22,58.0,75.0,January
22,57899,1940-01-23,67.0,77.0,January
23,57900,1940-01-24,59.0,75.0,January
24,57901,1940-01-25,55.0,75.0,January
25,57902,1940-01-26,66.0,73.0,January
26,57903,1940-01-27,60.0,75.0,January
27,57904,1940-01-28,60.0,74.0,January
28,57905,1940-01-29,55.0,78.0,January
29,57906,1940-01-30,56.0,75.0,January
30,57907,1940-01-31,57.0,76.0,January
31,57908,1940-02-01,62.0,77.0,February
32,57909,1940-02-02,61.0,78.0,February
33,57910,1940-02-03,63.0,77.0,February
34,57911,1940-02-04,64.0,77.0,February
35,57912,1940-02-05,64.0,77.0,February
36,57913,1940-02-06,64.0,76.0,February
37,57914,1940-02-07,63.0,78.0,February
38,57915,1940-02-08,62.0,79.0,February
39,57916,1940-02-09,62.0,78.0,February
40,57917,1940-02-10,64.0,73.0,February
41,57918,1940-02-11,63.0,76.0,February
42,57919,1940-02-12,66.0,77.0,February
43,57920,1940-02-13,65.0,77.0,February
44,57921,1940-02-14,60.0,82.0,February
